sample_index,filepath,source_word,true_label,condition,snr_db,transcript_raw,transcript_normalized,transcript_non_empty,asr_latency_sec,total_latency_sec,peak_normalized,peak_before_normalization,asr_failed,error
18,dataset/raw/emergency/yes/5a5721f8_nohash_3.wav,yes,emergency,snr_m10db,-10.0,,,0,0.057231,0.057765,1,1.129876,0,
19,dataset/raw/emergency/no/b8872c20_nohash_1.wav,no,emergency,snr_m10db,-10.0,,,0,0.053681,0.054052,1,1.866237,0,
20,dataset/raw/emergency/stop/e1936ce8_nohash_0.wav,stop,emergency,snr_m10db,-10.0,Just go.,just go,1,0.053762,0.054234,0,0.480108,0,
21,dataset/raw/emergency/wow/65d844fc_nohash_1.wav,wow,emergency,snr_m10db,-10.0,,,0,0.054755,0.055022,1,1.223856,0,
22,dataset/raw/emergency/no/d7a58714_nohash_0.wav,no,emergency,snr_m10db,-10.0,,,0,0.057082,0.057369,1,2.108075,0,
23,dataset/raw/unknown/nine/8769c34c_nohash_3.wav,nine,unknown,snr_m10db,-10.0,,,0,0.063297,0.063661,0,0.864102,0,
24,dataset/raw/movement/down/ed032775_nohash_2.wav,down,movement,snr_m10db,-10.0,,,0,0.073387,0.073785,0,0.442825,0,
25,dataset/raw/movement/on/3ca784ec_nohash_0.wav,on,movement,snr_m10db,-10.0,Oh my god.,oh my god,1,0.070726,0.071310,1,1.425549,0,
26,dataset/raw/emergency/yes/b7a0754f_nohash_1.wav,yes,emergency,snr_m10db,-10.0,Yes!,yes,1,0.060201,0.060828,0,0.772670,0,
27,dataset/raw/emergency/no/3a69f765_nohash_1.wav,no,emergency,snr_m10db,-10.0,,,0,0.061034,0.061403,1,1.368415,0,
28,dataset/raw/movement/left/3d794813_nohash_4.wav,left,movement,snr_m10db,-10.0,,,0,0.060412,0.060691,1,1.245310,0,
29,dataset/raw/unknown/eight/3e2ba5f7_nohash_0.wav,eight,unknown,snr_m10db,-10.0,Thank you.,thank you,1,0.062606,0.063218,1,1.687102,0,
30,dataset/raw/movement/forward/40738a2d_nohash_2.wav,forward,movement,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.659183,0.659900,1,1.433871,0,
31,dataset/raw/unknown/house/6c88cf25_nohash_0.wav,house,unknown,snr_m10db,-10.0,Yeah!,yeah,1,0.064416,0.064663,0,0.726239,0,
32,dataset/raw/emergency/yes/890cc926_nohash_0.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.080926,0.081248,1,1.163207,0,
33,dataset/raw/movement/off/5fadb538_nohash_2.wav,off,movement,snr_m10db,-10.0,,,0,0.068172,0.068478,0,0.735171,0,
34,dataset/raw/movement/down/5f9cd2eb_nohash_4.wav,down,movement,snr_m10db,-10.0,Go!,go,1,0.061455,0.062111,1,1.632490,0,
35,dataset/raw/unknown/four/9a7c1f83_nohash_0.wav,four,unknown,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.665506,0.666198,1,2.145707,0,
36,dataset/raw/unknown/happy/042ea76c_nohash_0.wav,happy,unknown,snr_m10db,-10.0,Thank you.,thank you,1,0.067104,0.067341,0,0.564362,0,
37,dataset/raw/unknown/tree/8ed25ef8_nohash_0.wav,tree,unknown,snr_m10db,-10.0,Great!,great,1,0.063321,0.063558,0,0.491426,0,
38,dataset/raw/movement/go/9637f43f_nohash_1.wav,go,movement,snr_m10db,-10.0,,,0,0.059567,0.060070,0,0.704781,0,
39,dataset/raw/unknown/one/0a196374_nohash_1.wav,one,unknown,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.658742,0.659008,1,1.210125,0,
40,dataset/raw/movement/right/050170cb_nohash_0.wav,right,movement,snr_m10db,-10.0,,,0,0.067420,0.067681,0,0.692674,0,
41,dataset/raw/emergency/no/53458368_nohash_0.wav,no,emergency,snr_m10db,-10.0,,,0,0.071208,0.071489,0,0.211913,0,
42,dataset/raw/emergency/stop/c6a23ff5_nohash_0.wav,stop,emergency,snr_m10db,-10.0,,,0,0.058949,0.059228,0,0.213935,0,
43,dataset/raw/movement/left/2fee065a_nohash_3.wav,left,movement,snr_m10db,-10.0,,,0,0.068769,0.069170,1,3.338029,0,
44,dataset/raw/movement/right/54aecbd5_nohash_0.wav,right,movement,snr_m10db,-10.0,,,0,0.064377,0.065077,1,1.067849,0,
45,dataset/raw/unknown/house/022cd682_nohash_0.wav,house,unknown,snr_m10db,-10.0,,,0,0.065555,0.066013,0,0.337901,0,
46,dataset/raw/unknown/three/7b2e879e_nohash_0.wav,three,unknown,snr_m10db,-10.0,,,0,0.068286,0.068798,0,0.409664,0,
47,dataset/raw/emergency/stop_words/End/en_US-norman-medium.wav,stop_words,emergency,snr_m10db,-10.0,,,0,0.066939,0.067841,1,1.282458,0,
48,dataset/raw/unknown/nine/ede2f4ee_nohash_0.wav,nine,unknown,snr_m10db,-10.0,,,0,0.070234,0.070892,1,2.345403,0,
49,dataset/raw/emergency/no/5f9cd2eb_nohash_5.wav,no,emergency,snr_m10db,-10.0,,,0,0.061678,0.062030,1,1.570747,0,
50,dataset/raw/unknown/seven/e4a2cf79_nohash_0.wav,seven,unknown,snr_m10db,-10.0,7,,0,0.053799,0.054257,0,0.710063,0,
51,dataset/raw/unknown/dog/ab5d7179_nohash_0.wav,dog,unknown,snr_m10db,-10.0,,,0,0.054795,0.055306,0,0.628304,0,
52,dataset/raw/emergency/backward/435695e3_nohash_0.wav,backward,emergency,snr_m10db,-10.0,Thank you.,thank you,1,0.058620,0.058975,1,1.887050,0,
53,dataset/raw/movement/down/a1cf7fd8_nohash_4.wav,down,movement,snr_m10db,-10.0,,,0,0.059195,0.059510,0,0.176467,0,
54,dataset/raw/emergency/stop/834f03fe_nohash_0.wav,stop,emergency,snr_m10db,-10.0,Me!,me,1,0.057849,0.058425,1,1.591492,0,
55,dataset/raw/unknown/seven/8a1c449e_nohash_2.wav,seven,unknown,snr_m10db,-10.0,That was it.,that was it,1,0.061987,0.062642,0,0.835994,0,
56,dataset/raw/emergency/yes/28e47b1a_nohash_2.wav,yes,emergency,snr_m10db,-10.0,Yes.,yes,1,0.057341,0.057584,1,1.023091,0,
57,dataset/raw/movement/down/5cf1ecce_nohash_2.wav,down,movement,snr_m10db,-10.0,Bye!,bye,1,0.061739,0.062310,1,1.281883,0,
58,dataset/raw/emergency/wow/152491bc_nohash_1.wav,wow,emergency,snr_m10db,-10.0,,,0,0.076245,0.076594,0,0.760906,0,
59,dataset/raw/emergency/no/324210dd_nohash_4.wav,no,emergency,snr_m10db,-10.0,,,0,0.062757,0.063046,1,2.098571,0,
60,dataset/raw/unknown/cat/2c7c33e8_nohash_1.wav,cat,unknown,snr_m10db,-10.0,Okay.,okay,1,0.070087,0.070575,0,0.795798,0,
61,dataset/raw/unknown/marvin/74241b28_nohash_0.wav,marvin,unknown,snr_m10db,-10.0,Happy!,happy,1,0.061832,0.062407,1,1.209477,0,
62,dataset/raw/emergency/stop/e9bc5cc2_nohash_0.wav,stop,emergency,snr_m10db,-10.0,It's cool.,it s cool,1,0.058803,0.059099,1,1.375132,0,
63,dataset/raw/unknown/four/25e95412_nohash_2.wav,four,unknown,snr_m10db,-10.0,,,0,0.056772,0.057259,1,1.336594,0,
64,dataset/raw/movement/left/6846af18_nohash_0.wav,left,movement,snr_m10db,-10.0,Good luck.,good luck,1,0.056052,0.056402,0,0.556790,0,
65,dataset/raw/emergency/yes/d103dd6e_nohash_0.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.054219,0.054564,1,2.278557,0,
66,dataset/raw/emergency/wow/a77fbcfd_nohash_0.wav,wow,emergency,snr_m10db,-10.0,,,0,0.066292,0.066725,0,0.893780,0,
67,dataset/raw/emergency/wow/095847e4_nohash_0.wav,wow,emergency,snr_m10db,-10.0,Oh,oh,1,0.059438,0.059875,0,0.386905,0,
68,dataset/raw/unknown/dog/19b05529_nohash_0.wav,dog,unknown,snr_m10db,-10.0,,,0,0.057630,0.057984,1,5.251168,0,
69,dataset/raw/unknown/two/b0f5b16d_nohash_1.wav,two,unknown,snr_m10db,-10.0,,,0,0.063277,0.063571,0,0.866100,0,
70,dataset/raw/movement/follow/87070229_nohash_3.wav,follow,movement,snr_m10db,-10.0,Come on!,come on,1,0.059153,0.059519,1,1.429830,0,
71,dataset/raw/movement/on/c0fb6812_nohash_0.wav,on,movement,snr_m10db,-10.0,,,0,0.059636,0.060156,0,0.167538,0,
72,dataset/raw/unknown/two/4fce7686_nohash_1.wav,two,unknown,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.700963,0.701555,0,0.801413,0,
73,dataset/raw/movement/on/f2a90886_nohash_0.wav,on,movement,snr_m10db,-10.0,,,0,0.077324,0.077560,0,0.143144,0,
74,dataset/raw/movement/forward/8fe67225_nohash_3.wav,forward,movement,snr_m10db,-10.0,,,0,0.067193,0.067822,1,1.738914,0,
75,dataset/raw/unknown/seven/3e2ba5f7_nohash_0.wav,seven,unknown,snr_m10db,-10.0,,,0,0.079199,0.079510,1,2.323216,0,
76,dataset/raw/emergency/no/9ff2d2f4_nohash_1.wav,no,emergency,snr_m10db,-10.0,,,0,0.064512,0.064909,0,0.256703,0,
77,dataset/raw/emergency/yes/cb62dbf1_nohash_3.wav,yes,emergency,snr_m10db,-10.0,Yeah,yeah,1,0.058833,0.059508,0,0.928874,0,
78,dataset/raw/movement/right/91ffb786_nohash_2.wav,right,movement,snr_m10db,-10.0,,,0,0.068209,0.068450,0,0.708181,0,
79,dataset/raw/emergency/stop_words/Stop/en_GB-cori-high.wav,stop_words,emergency,snr_m10db,-10.0,Stop!,stop,1,0.055012,0.055452,1,2.007964,0,
80,dataset/raw/movement/on/8f0d3c27_nohash_0.wav,on,movement,snr_m10db,-10.0,One.,one,1,0.054110,0.054572,1,2.852050,0,
81,dataset/raw/emergency/yes/56eb74ae_nohash_3.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.056280,0.056622,1,1.021323,0,
82,dataset/raw/unknown/six/2fee065a_nohash_1.wav,six,unknown,snr_m10db,-10.0,Cheers!,cheers,1,0.058522,0.058823,1,2.958340,0,
83,dataset/raw/movement/up/3bfd30e6_nohash_3.wav,up,movement,snr_m10db,-10.0,,,0,0.063083,0.063488,0,0.346566,0,
84,dataset/raw/movement/go/d91a159e_nohash_0.wav,go,movement,snr_m10db,-10.0,,,0,0.069470,0.070041,0,0.213540,0,
85,dataset/raw/unknown/five/b414c653_nohash_4.wav,five,unknown,snr_m10db,-10.0,Bye!,bye,1,0.066358,0.067033,0,0.887989,0,
86,dataset/raw/movement/right/692a88e6_nohash_2.wav,right,movement,snr_m10db,-10.0,Alright!,alright,1,0.070055,0.070598,1,1.501080,0,
87,dataset/raw/movement/left/7ea032f3_nohash_4.wav,left,movement,snr_m10db,-10.0,What?,what,1,0.063559,0.063831,1,1.272003,0,
