language,dataset_name,sample_id,canonical_label,raw_utterance_text,normalized_utterance_text,english_gloss,lexical_domain_tag,split,include_flag,exclusion_reason
Quechua,quechua,audios/10068.wav,excluded,Killachay p’unchawpi llank’ani,killachay p’unchawpi llank’ani,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10069.wav,emergency,Sapallanmi chay runaqa waqtuta ukyarapusqa,sapallanmi chay runaqa waqtuta ukyarapusqa,NA,other,train,1,
Quechua,quechua,audios/10070.wav,emergency,Wakamayuqa yaqa runakuna hinan riman.,wakamayuqa yaqa runakuna hinan riman.,NA,other,test,1,
Quechua,quechua,audios/10071.wav,excluded,Ayllu,ayllu,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10072.wav,excluded,Noqanchis yachaywasi ukhupi kashanchis,noqanchis yachaywasi ukhupi kashanchis,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10073.wav,emergency,Chris manan ch´uya runachu.,chris manan ch ́uya runachu.,NA,other,train,1,
Quechua,quechua,audios/10074.wav,excluded,Tullu,tullu,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10075.wav,emergency,Mana kamachikuywanqa manan haykuwaqchu,mana kamachikuywanqa manan haykuwaqchu,NA,other,test,1,
Quechua,quechua,audios/10076.wav,excluded,Alqokunataqa washkhawanmi seq'ona,alqokunataqa washkhawanmi seq'ona,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10077.wav,excluded,Tintin,tintin,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10078.wav,emergency,Manan uywakitaqa rikunichu,manan uywakitaqa rikunichu,NA,other,dev,1,
Quechua,quechua,audios/10079.wav,excluded,"Sapa p´unchay onqosqa mamanman watukuq risqa, mikhuchisqa, llapan tuta larunpi kasqa.","sapa p ́unchay onqosqa mamanman watukuq risqa, mikhuchisqa, llapan tuta larunpi kasqa.",NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10080.wav,excluded,Imapas harawi kanmanmi pipas harawi ruwaq kanmanmi.,imapas harawi kanmanmi pipas harawi ruwaq kanmanmi.,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10081.wav,emergency,Waqayuspan ripun,waqayuspan ripun,NA,other,test,1,
Quechua,quechua,audios/10082.wav,excluded,"Ama hina kaychu, apamuwanki t’antata","ama hina kaychu, apamuwanki t’antata",NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10083.wav,excluded,Qhelqaqa yuyaykunata qhelqanapaqmi allin,qhelqaqa yuyaykunata qhelqanapaqmi allin,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10084.wav,excluded,Wayna sipaskuna hamuychis,wayna sipaskuna hamuychis,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10085.wav,excluded,Runaq ñawpaq munakuyninqa aswan hatunmi chay munakuykunaqa ancha unaymi yurarikun.,runaq ñawpaq munakuyninqa aswan hatunmi chay munakuykunaqa ancha unaymi yurarikun.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10086.wav,emergency,"Aqtoq mushkhiynin, llimp´in pampapi kshaspa supay millaypunin.","aqtoq mushkhiynin, llimp ́in pampapi kshaspa supay millaypunin.",NA,other,train,1,
Quechua,quechua,audios/10087.wav,excluded,Paka mallkiqa tuqurupiqa misk’i unu kan,paka mallkiqa tuqurupiqa misk’i unu kan,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10088.wav,excluded,Ñankunapi tiyaq runakuna chaka ukhupi puñunku sapa tuta.,ñankunapi tiyaq runakuna chaka ukhupi puñunku sapa tuta.,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10089.wav,emergency,Alberton wañusqa atoqta tarisqa,alberton wañusqa atoqta tarisqa,NA,other,test,1,
Quechua,quechua,audios/10090.wav,excluded,Ayriway killapi pachamaman mikhuchinchis,ayriway killapi pachamaman mikhuchinchis,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10091.wav,excluded,Onqoy,onqoy,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10092.wav,excluded,Kay wasiqa pusaq pachamanta kichakun,kay wasiqa pusaq pachamanta kichakun,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10093.wav,excluded,Seq'e,seq'e,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10094.wav,excluded,Ñawpaqqa thanta p'achakunallan t'oqoyuq karan,ñawpaqqa thanta p'achakunallan t'oqoyuq karan,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10095.wav,excluded,Mama qochapiqa tukuy ima challwakunan tarikun,mama qochapiqa tukuy ima challwakunan tarikun,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10096.wav,emergency,K’aminakuyqa manan allinchu,k’aminakuyqa manan allinchu,NA,other,train,1,
Quechua,quechua,audios/10097.wav,excluded,Paqarinmi mamayqa ponchu awayta tukunqa,paqarinmi mamayqa ponchu awayta tukunqa,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10098.wav,emergency,"Maria, haqay mot’ita mikhumuy","maria, haqay mot’ita mikhumuy",NA,other,train,1,
Quechua,quechua,audios/10099.wav,excluded,Kullkuqa sach’a patakunamanta munayta takimun,kullkuqa sach’a patakunamanta munayta takimun,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10100.wav,excluded,Amu,amu,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10101.wav,emergency,"Llaqtakunapi, asnapata rantiqtinchisqa,  asnapawanmi yapawanchis","llaqtakunapi, asnapata rantiqtinchisqa, asnapawanmi yapawanchis",NA,other,train,1,
Quechua,quechua,audios/10102.wav,emergency,Waqayuspan ripun,waqayuspan ripun,NA,other,train,1,
Quechua,quechua,audios/10103.wav,emergency,Mana samaspaqa apurayllan wañurapunchisman,mana samaspaqa apurayllan wañurapunchisman,NA,other,train,1,
Quechua,quechua,audios/10104.wav,excluded,Waka qaramantan tinya ruwakun,waka qaramantan tinya ruwakun,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10105.wav,excluded,Suqta uyayuq pirwaqa machina sutiyuq,suqta uyayuq pirwaqa machina sutiyuq,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10106.wav,emergency,Atichaw,atichaw,NA,other,test,1,
Quechua,quechua,audios/10107.wav,excluded,Sipaskunaqa sumaq t’ipanakunawanmi alayrilla llaqtata rinku,sipaskunaqa sumaq t’ipanakunawanmi alayrilla llaqtata rinku,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10108.wav,emergency,Ankaqa hanaqpacha wasapaykaman phawan,ankaqa hanaqpacha wasapaykaman phawan,NA,other,train,1,
Quechua,quechua,audios/10109.wav,excluded,Payqa huk simanatan onqosqa kasqa sapa p´unchay puriqtin aswanta onqoyapusqa.,payqa huk simanatan onqosqa kasqa sapa p ́unchay puriqtin aswanta onqoyapusqa.,NA,other,dev,0,non_canonical_emotion_label
Quechua,quechua,audios/10110.wav,emergency,Kishkan makiyman haykurun,kishkan makiyman haykurun,NA,other,test,1,
Quechua,quechua,audios/10111.wav,emergency,Manan waylluytaqa huchapi t´ikachinachu.,manan waylluytaqa huchapi t ́ikachinachu.,NA,other,test,1,
Quechua,quechua,audios/10112.wav,excluded,Killachay p'unchawpin Pisaq llaqtapi qhatuykuna apakun,killachay p'unchawpin pisaq llaqtapi qhatuykuna apakun,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10113.wav,excluded,Qhachunniyqa sumaq alakhayuqkunatan llikllata awan,qhachunniyqa sumaq alakhayuqkunatan llikllata awan,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10114.wav,excluded,Misk’i,misk’i,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10115.wav,excluded,Llaqtamanmi seqaykapunku,llaqtamanmi seqaykapunku,NA,other,dev,0,non_canonical_emotion_label
Quechua,quechua,audios/10116.wav,excluded,Masa turuwanmi llank’asaq,masa turuwanmi llank’asaq,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10117.wav,excluded,Kusa,kusa,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10118.wav,excluded,Q’ello,q’ello,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10119.wav,excluded,T’akay,t’akay,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10120.wav,emergency,Yachay wisipin noqa tinyata waqtani,yachay wisipin noqa tinyata waqtani,NA,other,train,1,
Quechua,quechua,audios/10121.wav,excluded,Hampiq yanapaqkunaqa onqosqa machuchakunata payachakunata yanapanku mayninpi wañupunku.,hampiq yanapaqkunaqa onqosqa machuchakunata payachakunata yanapanku mayninpi wañupunku.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10122.wav,excluded,Noqayku puriq kayku,noqayku puriq kayku,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10123.wav,excluded,Q’ello,q’ello,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10124.wav,emergency,Chay yuraq millwataqa pukamanmi tullpusaq.,chay yuraq millwataqa pukamanmi tullpusaq.,NA,other,train,1,
Quechua,quechua,audios/10125.wav,excluded,Kuchuy,kuchuy,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10126.wav,excluded,Sumaqmi ñawiyki,sumaqmi ñawiyki,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10127.wav,excluded,Paqonchiskunaqa mamaniq llamankunawanmi chapurakapusqa,paqonchiskunaqa mamaniq llamankunawanmi chapurakapusqa,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10128.wav,excluded,Tusuqqa raymipipunim kanku,tusuqqa raymipipunim kanku,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10129.wav,excluded,Hukkaq larupi qoraqa q´omerpunin kan.,hukkaq larupi qoraqa q ́omerpunin kan.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10130.wav,excluded,Noqaykurayku chay huñunakuyman rinki,noqaykurayku chay huñunakuyman rinki,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10131.wav,emergency,Yachay wisipin noqa tinyata waqtani,yachay wisipin noqa tinyata waqtani,NA,other,train,1,
Quechua,quechua,audios/10132.wav,excluded,Sayay,sayay,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10133.wav,emergency,"Kay pachapi nishu sipinakuy kan, ichaqa manapunin waylluyta sipinahinachu","kay pachapi nishu sipinakuy kan, ichaqa manapunin waylluyta sipinahinachu",NA,other,train,1,
Quechua,quechua,audios/10134.wav,emergency,Ñak’arichiq,ñak’arichiq,NA,other,test,1,
Quechua,quechua,audios/10135.wav,excluded,Alfabetización Poloniapi manan kay watakunapi t´ikrakunchu.,alfabetización poloniapi manan kay watakunapi t ́ikrakunchu.,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10136.wav,excluded,Chay isankaqa mana aysanayuqmi,chay isankaqa mana aysanayuqmi,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10137.wav,excluded,Killachay p’unchawpi llank’ani,killachay p’unchawpi llank’ani,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10138.wav,excluded,Pichinchukunata warak'aspanku wasi qhawananta t'oqorusqaku,pichinchukunata warak'aspanku wasi qhawananta t'oqorusqaku,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10139.wav,emergency,Raphi,raphi,NA,other,test,1,
Quechua,quechua,audios/10140.wav,emergency,Umaykita maqch'ikuy,umaykita maqch'ikuy,NA,other,train,1,
Quechua,quechua,audios/10141.wav,excluded,Wawakunaqa raymi p’unchawkunapi sumaq yarawikunata yarawinku,wawakunaqa raymi p’unchawkunapi sumaq yarawikunata yarawinku,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10142.wav,excluded,Sach´api chirimuya kashan,sach ́api chirimuya kashan,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10143.wav,excluded,Llaphlla,llaphlla,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10144.wav,excluded,Hampiqkuna ñan sayk´usqaña kanku chanin onqoqkunata hampispa.,hampiqkuna ñan sayk ́usqaña kanku chanin onqoqkunata hampispa.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10145.wav,excluded,Hayk’aqmi yachanki,hayk’aqmi yachanki,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10146.wav,excluded,Hayk’akama yupayta yachanki,hayk’akama yupayta yachanki,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10147.wav,excluded,Warmikunaqa kukankuta huk llikllachapin apanku,warmikunaqa kukankuta huk llikllachapin apanku,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10148.wav,excluded,Suchi,suchi,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10149.wav,emergency,Kawallupi sillakuqtiymi phakaykuna wañupun,kawallupi sillakuqtiymi phakaykuna wañupun,NA,other,train,1,
Quechua,quechua,audios/10150.wav,excluded,"Macbeth, Duncanta sipispa, pisita sonqon churasqanta mana kasusqachu.","macbeth, duncanta sipispa, pisita sonqon churasqanta mana kasusqachu.",NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10151.wav,excluded,Runkhiy,runkhiy,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10152.wav,emergency,Pachatupu,pachatupu,NA,other,train,1,
Quechua,quechua,audios/10153.wav,excluded,"Warmikunawan manan imaynata rimayta atinichu, chayqa manan hayk´aqpas aylluyuq kasaqchu.","warmikunawan manan imaynata rimayta atinichu, chayqa manan hayk ́aqpas aylluyuq kasaqchu.",NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10154.wav,emergency,Llamata aysaspa llaqtata riy,llamata aysaspa llaqtata riy,NA,other,train,1,
Quechua,quechua,audios/10155.wav,excluded,Asikullaq runapiqa amapunin sonqoykita churankichu.,asikullaq runapiqa amapunin sonqoykita churankichu.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10156.wav,excluded,Unu,unu,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10157.wav,excluded,Manarami mana sasa ashkha runapi infección  hap´iyta yachaykuchu,manarami mana sasa ashkha runapi infección hap ́iyta yachaykuchu,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10158.wav,excluded,Taytay manan llank’anchu,taytay manan llank’anchu,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10159.wav,emergency,Ñak’arichiq,ñak’arichiq,NA,other,train,1,
Quechua,quechua,audios/10160.wav,emergency,Kawsaynin,kawsaynin,NA,other,test,1,
Quechua,quechua,audios/10161.wav,excluded,"Mana para kanchu, apukunatacha phiñarachinku","mana para kanchu, apukunatacha phiñarachinku",NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10162.wav,emergency,Ch´aran llant'aqa manan rawranchu q'oshñitan sayarichin.,ch ́aran llant'aqa manan rawranchu q'oshñitan sayarichin.,NA,other,test,1,
Quechua,quechua,audios/10163.wav,excluded,Chinchiru llaqta warmikunaqa munay muntirakunawan churakun,chinchiru llaqta warmikunaqa munay muntirakunawan churakun,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10164.wav,emergency,"Nanaypa ruwasqanmi kani, huk k´iri kicharisqa manan allinchu kanman.","nanaypa ruwasqanmi kani, huk k ́iri kicharisqa manan allinchu kanman.",NA,other,train,1,
Quechua,quechua,audios/10165.wav,excluded,T’ikariy,t’ikariy,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10166.wav,excluded,"Manan sasachakuytachu mashkashani, sasachakuymi noqata tariwan.","manan sasachakuytachu mashkashani, sasachakuymi noqata tariwan.",NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10167.wav,excluded,Ñuqñu,ñuqñu,NA,other,train,0,non_canonical_emotion_label
